Name	ID	Category	Year	Rank	Published	Ratings	Owned	Sessions	Total	Digital	Incomplete	Missing	Meaningful	Solo	2P	3P	4P	5P	6P	7P	8P	9+P
Elfenland	10	Family	1998	1031	2-6	8039	9763	11351	12118.000	0.040	0.280	0.823	2149.000	0.000	0.191	0.217	0.251	0.190	0.152	0.000	0.000	0.000
Sobek	67185	Family	2010	1836	2-4	2053	2188	5742	5553.000	0.129	0.928	0.774	1255.000	0.000	0.410	0.362	0.228	0.000	0.000	0.000	0.000	0.000
Krosmaster: Arena	112138	Customizable	2012	1324	2-4	3428	7068	5539	7019.000	0.014	0.749	0.809	1343.000	0.000	0.844	0.069	0.088	0.000	0.000	0.000	0.000	0.000
Tobago	42215	Family	2009	485	2-4	10559	11917	23705	24437.000	0.046	0.444	0.756	5969.000	0.000	0.272	0.317	0.411	0.000	0.000	0.000	0.000	0.000
In the Year of the Dragon	31594	Strategy	2007	292	2-5	10726	9743	25282	26161.000	0.047	0.122	0.815	4837.000	0.000	0.215	0.253	0.301	0.231	0.000	0.000	0.000	0.000
The Boss	85005	Family	2010	1491	2-6	2286	2584	5308	5397.000	0.081	0.424	0.752	1339.000	0.000	0.174	0.298	0.415	0.089	0.024	0.000	0.000	0.000
Quoridor	624	Abstract	1997	1203	2-4	6342	9074	14216	22680.000	0.038	0.097	0.761	5415.000	0.000	0.853	0.037	0.111	0.000	0.000	0.000	0.000	0.000
Libertalia	125618	Strategy	2012	415	2-6	12349	13700	26040	26848.000	0.045	0.449	0.733	7158.000	0.000	0.088	0.177	0.285	0.243	0.207	0.000	0.000	0.000
Hive	2655	Abstract	2000	245	2-2	29337	38364	89786	141082.000	0.029	0.088	0.761	33716.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Hex	4112	Abstract	1942	3316	2-2	693	561	2444	3389.000	0.087	0.177	0.857	483.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NOIR: Deductive Mystery Game	102148	Thematic	2012	2657	2-9	1329	2715	3425	4712.000	0.074	0.106	0.637	1712.000	0.000	0.817	0.061	0.067	0.025	0.021	0.004	0.004	0.001
Keyflower	122515	Strategy	2012	71	2-6	18839	21975	45136	44996.000	0.049	0.237	0.647	15871.000	0.000	0.365	0.216	0.217	0.131	0.071	0.000	0.000	0.000
Penny Press	148205	Thematic	2015	3107	2-5	888	1411	1755	1631.000	0.140	0.122	0.636	593.000	0.000	0.179	0.300	0.342	0.179	0.000	0.000	0.000	0.000
Dragonheart	66171	Family	2010	1721	2-2	3240	3364	14691	16786.000	0.195	0.036	0.783	3639.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Quarto	681	Abstract	1991	946	2-2	5806	9073	15885	24657.000	0.056	0.016	0.695	7521.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
The Palaces of Carrara	129948	Strategy	2012	695	2-4	4037	4311	11763	11203.000	0.106	0.134	0.730	3026.000	0.000	0.415	0.270	0.316	0.000	0.000	0.000	0.000	0.000
Bombay	40214	Family	2009	2892	2-5	1663	2093	3252	3297.000	0.045	0.212	0.796	671.000	0.000	0.235	0.297	0.274	0.194	0.000	0.000	0.000	0.000
The Battle for Hill 218	32484	Strategy	2007	2028	2-2	1754	2136	5468	9041.000	0.042	0.088	0.896	937.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Troyes	73439	Strategy	2010	82	2-4	18736	21126	49810	48497.000	0.078	0.501	0.680	15528.000	0.000	0.440	0.319	0.241	0.000	0.000	0.000	0.000	0.000
Go-Moku	11929	Abstract	700	6213	2-2	588	515	2153	2573.000	0.236	0.116	0.902	251.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Battle Sheep	54137	Abstract	2010	1444	2-4	3787	4868	15067	18171.000	0.080	0.022	0.610	7089.000	0.000	0.382	0.315	0.303	0.000	0.000	0.000	0.000	0.000
Perudo	45	Party	1800	676	2-6	12515	16045	56834	80288.000	0.012	0.081	0.801	16016.000	0.000	0.083	0.189	0.331	0.218	0.179	0.000	0.000	0.000
Twin Tin Bots	126239		2013	3984	2-6	767	817	1676	1460.000	0.174	0.545	0.763	346.000	0.000	0.243	0.269	0.246	0.145	0.098	0.000	0.000	0.000
Dungeon Twister	12995	Strategy	2004	1011	2-2	5743	7590	7246	8320.000	0.051	0.893	0.897	855.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Nippon	154809	Strategy	2015	309	2-4	4159	4468	10274	9208.000	0.122	0.433	0.607	3615.000	0.000	0.292	0.309	0.398	0.000	0.000	0.000	0.000	0.000
Signorie	177678	Strategy	2015	707	2-4	2604	3124	6600	6028.000	0.104	0.594	0.578	2542.000	0.000	0.364	0.291	0.345	0.000	0.000	0.000	0.000	0.000
Kahuna	394	Abstract	1998	1123	2-2	8362	11839	12865	14476.000	0.054	0.358	0.764	3423.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Koryŏ	140535	Strategy	2013	2086	2-4	1695	2536	5000	5720.000	0.074	0.035	0.737	1503.000	0.000	0.353	0.351	0.295	0.000	0.000	0.000	0.000	0.000
Lords of Xidit	156566	Strategy	2014	645	3-5	5217	8451	8693	8671.000	0.049	0.196	0.653	3012.000	0.000	0.000	0.178	0.458	0.364	0.000	0.000	0.000	0.000
Legendary Inventors	200785	Family	2016	3155	2-5	1153	1715	2988	2637.000	0.188	0.265	0.563	1152.000	0.000	0.308	0.239	0.288	0.165	0.000	0.000	0.000	0.000
Origin	127095	Family	2013	2502	2-4	1086	1852	2126	2069.000	0.074	0.289	0.717	585.000	0.000	0.409	0.296	0.296	0.000	0.000	0.000	0.000	0.000
Hawaii	106217	Strategy	2011	714	2-5	4169	4412	11749	10916.000	0.124	0.311	0.788	2319.000	0.000	0.398	0.217	0.238	0.147	0.000	0.000	0.000	0.000
Niagara	13308	Family	2004	1408	3-5	7897	9569	13829	15798.000	0.023	0.309	0.855	2298.000	0.000	0.000	0.366	0.384	0.250	0.000	0.000	0.000	0.000
Assyria	43152	Strategy	2009	1766	2-4	1589	2131	2933	2778.000	0.101	0.715	0.799	557.000	0.000	0.366	0.278	0.355	0.000	0.000	0.000	0.000	0.000
Oh Hell!	1116	Family	1930	2145	3-7	1167	695	6252	6538.000	0.106	0.275	0.695	1995.000	0.000	0.000	0.207	0.355	0.247	0.133	0.059	0.000	0.000
Taluva	24508	Abstract	2006	505	2-4	7760	7785	26506	32138.000	0.030	0.034	0.767	7496.000	0.000	0.487	0.287	0.227	0.000	0.000	0.000	0.000	0.000
Buttons	181390		2015	12536	2-4	270	126	1973	1368.000	0.407	0.073	0.563	598.000	0.000	0.545	0.221	0.234	0.000	0.000	0.000	0.000	0.000
Colorpop	125028	Abstract	2011	13302	1-5	525	305	2333	2307.000	0.301	0.043	0.761	551.000	0.083	0.323	0.269	0.192	0.132	0.000	0.000	0.000	0.000
Othello	2389	Abstract	1883	2748	2-2	6993	10857	8442	10693.000	0.085	0.168	0.787	2276.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Tournay	105037	Strategy	2011	1049	2-4	2918	4215	6630	6737.000	0.071	0.296	0.746	1712.000	0.000	0.628	0.226	0.146	0.000	0.000	0.000	0.000	0.000
Polis: Fight for the Hegemony	69779	War	2012	742	2-2	2096	3199	4256	3827.000	0.142	2.769	0.796	779.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Colt Express	158899	Family	2014	391	2-6	24455	34145	61293	66554.000	0.044	0.135	0.624	25033.000	0.000	0.074	0.201	0.314	0.231	0.180	0.000	0.000	0.000
Celestia	175117	Family	2015	685	2-6	8281	11030	29255	33195.000	0.023	0.117	0.539	15310.000	0.000	0.060	0.174	0.302	0.250	0.214	0.000	0.000	0.000
Nine Men's Morris	3886	Abstract	-1400	19876	2-2	1298	1631	1849	2789.000	0.063	0.357	0.862	384.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
Gaïa	163920	Family	2014	3163	2-5	1417	2171	2945	3165.000	0.078	0.189	0.667	1055.000	0.000	0.453	0.234	0.210	0.102	0.000	0.000	0.000	0.000
